[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/09/23 01:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 02:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 03:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 04:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 05:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 06:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 07:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 08:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 09:00:00,No.24SC,22,15T019       ,200,190,4916,0,1
2020/09/23 10:00:00,No.24SC,22,15T019       ,200,81,210,0,1
2020/09/23 10:19:31,No.24SC,22,15T019       ,200,81,0,0,1
2020/09/23 11:00:00,No.24SC,18,10T015       ,200,81,14,0,1
2020/09/23 12:00:00,No.24SC,18,10T015       ,200,213,1789,0,1
2020/09/23 13:00:00,No.24SC,18,10T015       ,200,81,0,0,1
2020/09/23 14:00:00,No.24SC,18,10T015       ,200,4,3437,0,1
2020/09/23 15:00:00,No.24SC,18,10T015       ,200,213,7896,0,1
2020/09/23 16:00:00,No.24SC,18,10T015       ,200,81,6555,0,1
2020/09/23 17:00:00,No.24SC,18,10T015       ,200,0,4476,0,1
2020/09/23 18:00:00,No.24SC,18,10T015       ,200,81,1340,0,1
2020/09/23 19:00:00,No.24SC,18,10T015       ,200,81,0,0,1
2020/09/23 20:00:00,No.24SC,18,10T015       ,200,0,31,0,1
2020/09/23 21:00:00,No.24SC,18,10T015       ,200,0,0,0,1
2020/09/23 22:00:00,No.24SC,18,10T015       ,200,0,0,0,1
2020/09/23 23:00:00,No.24SC,18,10T015       ,200,0,0,0,1
2020/09/24 00:00:00,No.24SC,18,10T015       ,200,0,0,0,1
