[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/01 01:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 02:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 03:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 04:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 05:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 06:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 10:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 11:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 12:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 13:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 14:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 15:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 16:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 17:00:00,No.24SC,24,19T001       ,200,200,5665,0,1
2021/03/01 18:00:00,No.24SC,24,19T001       ,200,81,10561,0,1
2021/03/01 19:00:00,No.24SC,24,19T001       ,200,200,10143,0,1
2021/03/01 20:00:00,No.24SC,24,19T001       ,200,0,1676,0,1
2021/03/01 21:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 22:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/01 23:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 00:00:00,No.24SC,24,19T001       ,200,0,0,0,1
