[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/09/22 01:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 02:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 03:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 04:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 05:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 06:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 07:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 08:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 09:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 10:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 11:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 12:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 13:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 14:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 15:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 16:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 17:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 18:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 19:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 20:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 21:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 22:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/22 23:00:00,No.24SC,22,15T019       ,200,83,0,0,1
2020/09/23 00:00:00,No.24SC,22,15T019       ,200,83,0,0,1
